DAY,MONTH,YEAR,GENERATED (kWh),PEAK POWER (kW),PEAK_TIME,WEATHER CONDITION,TEMPERATURE MINIMUM (C),TEMPERATURE MAXIMUM (C),POST CODE
1,1,2019,39600,4710,12:50,Fine,17.2,32.5,6053
2,1,2019,22100,4820,16:15,Mostly Cloudy,19.7,23.8,6053
3,1,2019,37700,4850,11:00,Fine,17.4,23.8,6053
4,1,2019,41600,4840,15:05,Fine,10,24.2,6053
5,1,2019,41000,4810,12:05,Fine,12.9,30.9,6053
6,1,2019,39300,4700,12:20,Fine,20.3,35,6053
7,1,2019,40000,4750,12:30,Fine,19.7,32.2,6053
8,1,2019,32300,4800,11:10,Fine,18.3,30.9,6053
9,1,2019,39700,4770,12:10,Fine,18.5,31.2,6053
10,1,2019,39600,4820,15:40,Fine,17,25.4,6053
11,1,2019,40700,4780,15:00,Fine,14.5,27,6053
12,1,2019,39200,4730,12:00,Fine,14,33.1,6053
13,1,2019,41000,4790,12:00,Fine,20.1,27.5,6053
14,1,2019,40000,4780,12:25,Fine,17.7,28.8,6053
15,1,2019,40100,4750,14:40,Fine,17.1,28.6,6053
16,1,2019,40300,4800,14:00,Fine,16.5,28.1,6053
17,1,2019,40300,4800,13:40,Fine,16,25.8,6053
18,1,2019,39800,4740,12:00,Fine,14.2,30.2,6053
19,1,2019,37700,4640,12:50,Fine,18.2,37.8,6053
20,1,2019,37600,4640,13:00,Fine,20,42.1,6053
21,1,2019,39100,4750,14:35,Fine,19.9,29.8,6053
22,1,2019,34000,4810,14:50,Fine,19.7,27.1,6053
23,1,2019,28000,4830,15:20,Partly Cloudy,16,22.1,6053
24,1,2019,20800,4890,12:10,Mostly Cloudy,15,20.3,6053
25,1,2019,40800,4770,14:25,Fine,11.6,25.7,6053
26,1,2019,40300,4790,11:40,Fine,15.2,27.8,6053
27,1,2019,40100,4750,13:40,Fine,16.1,33.1,6053
28,1,2019,39000,4670,12:15,Fine,13.2,39.6,6053
29,1,2019,40100,4770,12:35,Fine,14,29.5,6053
30,1,2019,39700,4770,13:15,Fine,17.3,29.3,6053
31,1,2019,38700,4780,12:50,Fine,17.3,32.6,6053
1,2,2019,38200,4680,12:05,Fine,20.1,38.5,6053
2,2,2019,30500,4800,11:10,Fine,18.3,27.1,6053
3,2,2019,39900,4810,11:55,Fine,14.4,26.5,6053
4,2,2019,39200,4800,13:40,Fine,15.7,27.8,6053
5,2,2019,38500,4730,12:50,Fine,17.5,32.5,6053
6,2,2019,32700,4700,12:25,Fine,17.6,35.5,6053
7,2,2019,37300,4660,12:10,Fine,21.5,32.9,6053
8,2,2019,38100,4760,13:45,Fine,19.2,31.4,6053
9,2,2019,37800,4720,13:35,Fine,18.2,32.5,6053
10,2,2019,38000,4700,12:25,Fine,20.1,35.9,6053
11,2,2019,39300,4770,12:55,Fine,15.2,26.1,6053
12,2,2019,38500,4860,10:20,Fine,15.6,27,6053
13,2,2019,27400,4830,15:30,Partly Cloudy,16.2,30.6,6053
14,2,2019,38300,4760,12:05,Fine,15.9,30,6053
15,2,2019,38300,4730,12:05,Fine,17.6,26.7,6053
16,2,2019,36500,4800,12:35,Fine,18.4,29.5,6053
17,2,2019,37900,4780,12:15,Fine,18,28.3,6053
18,2,2019,37800,4740,12:10,Fine,16.1,30.3,6053
19,2,2019,37100,4690,12:15,Fine,15.6,32.5,6053
20,2,2019,37200,4740,13:55,Fine,16.8,31,6053
21,2,2019,16300,4450,11:45,Mostly Cloudy,17.9,24.2,6053
22,2,2019,35600,4720,12:05,Fine,19.2,25.8,6053
23,2,2019,35400,4750,14:10,Fine,16.3,28,6053
24,2,2019,37100,4720,12:25,Fine,17.6,29.7,6053
25,2,2019,35200,4670,12:55,Fine,18.8,33,6053
26,2,2019,32700,4670,13:50,Fine,21.5,34.8,6053
27,2,2019,32200,4730,14:40,Fine,19,33.1,6053
28,2,2019,31400,4760,14:40,Fine,19.4,27.3,6053
1,3,2019,34300,4790,12:25,Fine,18.9,23.9,6053
2,3,2019,37000,4780,12:10,Fine,13.7,25.4,6053
3,3,2019,35200,4690,12:45,Fine,13.3,31.7,6053
4,3,2019,28600,4610,12:45,Partly Cloudy,20.3,38.1,6053
5,3,2019,28400,4740,13:15,Partly Cloudy,19.9,29,6053
6,3,2019,18300,4790,11:50,Mostly Cloudy,17.6,27.4,6053
7,3,2019,10200,3260,14:55,Cloudy,21.1,24.8,6053
8,3,2019,19100,4780,12:25,Mostly Cloudy,19,27.4,6053
9,3,2019,6600,2270,13:05,Cloudy,21.3,23.3,6053
10,3,2019,27200,4780,11:10,Partly Cloudy,19.7,29.2,6053
11,3,2019,34800,4700,12:35,Fine,17.4,28.7,6053
12,3,2019,33100,4720,14:00,Fine,20.9,30.8,6053
13,3,2019,36000,4750,14:15,Fine,15.9,25.5,6053
14,3,2019,34800,4720,13:05,Fine,16.9,29,6053
15,3,2019,34300,4720,13:20,Fine,18.5,30.1,6053
16,3,2019,33900,4750,13:20,Fine,16.9,28.7,6053
17,3,2019,32900,4540,12:25,Fine,18.6,31.2,6053
18,3,2019,30900,4680,13:20,Fine,20.9,34.8,6053
19,3,2019,32300,4700,11:35,Fine,23.4,34.1,6053
20,3,2019,26800,4680,12:50,Partly Cloudy,20.2,31.7,6053
21,3,2019,27900,4690,11:50,Partly Cloudy,21.8,31.7,6053
22,3,2019,31200,4740,12:15,Fine,24.3,28.9,6053
23,3,2019,33800,4710,12:30,Fine,14.6,25.4,6053
24,3,2019,33600,4760,12:55,Fine,20.7,25.3,6053
25,3,2019,33700,4750,12:25,Fine,22.5,28.1,6053
26,3,2019,31800,4680,12:15,Fine,14.8,29.9,6053
